depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
2,1,14,0.6242221158449018,0.4075471698113208,0.64547916770731,87808,49
2,1,15,0.6610818573480134,0.4158415841584158,0.6560243538298451,94080,49
2,1,16,0.6505505026328386,0.41318327974276525,0.6557829245686186,100352,49
2,1,17,0.697941598851125,0.42056932966023874,0.6583651076441499,106624,49
2,1,18,0.6376256582096697,0.4136328427575523,0.658205542327822,112896,49
2,1,19,0.6673049305887985,0.41151566469093986,0.6558398130727008,119168,49
2,1,20,0.6275730014360938,0.3940809968847352,0.6536558495257442,125440,49
2,1,21,0.659167065581618,0.40863787375415284,0.654556352919629,131712,49
2,1,22,0.6223073240785064,0.396327467482785,0.6534754713420692,137984,49
2,1,23,0.6404978458592628,0.40444091990483744,0.6575964190767967,144256,49
2,1,24,0.6711345141215893,0.4173027989821883,0.6590796827564005,150528,49
2,1,25,0.6390617520344662,0.40348101265822783,0.6601688894808992,156800,49
2,2,1,0.4988032551460029,0.3107307439104674,0.5160328454797228,6272,49
2,2,2,0.5457156534226902,0.3167746580273578,0.5414259311676851,12544,49
2,2,3,0.5299186213499282,0.3218232044198895,0.5515756728106251,18816,49
2,2,4,0.5256103398755385,0.3272233536999321,0.5665484495801351,25088,49
2,2,5,0.49593106749640975,0.33480732785849654,0.5829587017210853,31360,49
2,2,6,0.5763523216850167,0.3320754716981132,0.6016611443191973,37632,49
2,2,7,0.5533748204882719,0.35343035343035345,0.6147385626356305,43904,49
2,2,8,0.6199138343705122,0.37183544303797467,0.6292243183092182,50176,49
2,2,9,0.5811393011010053,0.38162544169611307,0.6336616216276217,56448,49
2,2,10,0.6582096696984203,0.3969594594594595,0.6436628981501524,62720,49
2,2,11,0.6146481570129249,0.4111192392099488,0.6497138924502017,68992,49
2,2,12,0.6404978458592628,0.4119028974158183,0.6526290814032868,75264,49
2,2,13,0.6558161799904261,0.41401792991035047,0.6557898621910676,81536,49
2,2,14,0.6792723791287697,0.4163763066202091,0.6556816352808627,87808,49
