model,qubits,seed,round,test_acc,test_f1,test_auc,round_bytes,cumulative_bytes,wall_seconds,n_params
VQC,4.0,0,1,0.52082336045955,0.30437804030576787,0.5177561508960633,3200,3200,1.0679850578308105,25
VQC,4.0,0,2,0.5734801340354236,0.2934179222839017,0.5232909860859044,3200,6400,0.33733487129211426,25
VQC,4.0,0,3,0.5083772139779799,0.3027834351663272,0.5217119832165038,3200,9600,0.34902119636535645,25
VQC,4.0,0,4,0.5662996649114409,0.28095238095238095,0.5222434050961,3200,12800,0.3227684497833252,25
VQC,4.0,0,5,0.5141215892771661,0.3062200956937799,0.5236156668165194,3200,16000,0.29978322982788086,25
VQC,4.0,0,6,0.533748204882719,0.28171091445427726,0.5243371795512191,3200,19200,0.30615854263305664,25
VQC,4.0,0,7,0.49497367161321204,0.31180691454664056,0.522128240563446,3200,22400,0.3142414093017578,25
VQC,4.0,0,8,0.501675442795596,0.29993275050437124,0.5197056228042425,3200,25600,0.3701353073120117,25
VQC,4.0,0,9,0.5102920057443753,0.2910602910602911,0.5210348712654778,3200,28800,0.34977126121520996,25
VQC,4.0,0,10,0.48444231689803735,0.33147113594040967,0.5196875849858751,3200,32000,0.34296202659606934,25
VQC,4.0,0,11,0.49497367161321204,0.31715210355987056,0.5189258340409708,3200,35200,0.35085487365722656,25
VQC,4.0,0,12,0.48348492101483964,0.3400611620795107,0.5184082874062726,3200,38400,0.3167726993560791,25
VQC,4.0,0,13,0.47774054571565344,0.36310566258026855,0.5184873763021917,3200,41600,0.33408308029174805,25
VQC,4.0,0,14,0.4916227860220201,0.3516483516483517,0.5205214872042492,3200,44800,0.35270023345947266,25
VQC,4.0,0,15,0.4997606510292006,0.35850214855739715,0.5247617620451,3200,48000,0.3205752372741699,25
VQC,4.0,0,16,0.4796553374820488,0.34557495484647804,0.5333824517002725,3200,51200,0.3163163661956787,25
VQC,4.0,0,17,0.47774054571565344,0.33998790078644886,0.5318367494186272,3200,54400,0.3616213798522949,25
VQC,4.0,0,18,0.46960268070847294,0.34823529411764703,0.5254402615206158,3200,57600,0.3516566753387451,25
VQC,4.0,0,19,0.5045476304451891,0.3461781427668983,0.5280335447920657,3200,60800,0.34568214416503906,25
VQC,4.0,0,20,0.47726184777405456,0.35990621336459555,0.5304048241451462,3200,64000,0.366532564163208,25
VQC,4.0,0,21,0.4988032551460029,0.3500931098696462,0.534199703624769,3200,67200,0.36472654342651367,25
VQC,4.0,0,22,0.4858784107228339,0.3637440758293839,0.5233992129961094,3200,70400,0.315427303314209,25
VQC,4.0,0,23,0.5007180469123983,0.3620795107033639,0.5235338028716208,3200,73600,0.3512592315673828,25
VQC,4.0,0,24,0.48922929631402584,0.3821656050955414,0.5184304877981096,3200,76800,0.3780980110168457,25
VQC,4.0,0,25,0.5035902345619914,0.3490269930947897,0.519969252457306,3200,80000,0.3724353313446045,25
MatchedMLP,4.0,0,1,0.49114408808042126,0.11046025104602511,0.25355206269390657,3200,3200,0.036495208740234375,25
MatchedMLP,4.0,0,2,0.5064624222115844,0.14439834024896264,0.333487348551702,3200,6400,0.03070521354675293,25
MatchedMLP,4.0,0,3,0.582096696984203,0.24806201550387597,0.46688811557523985,3200,9600,0.0229644775390625,25
MatchedMLP,4.0,0,4,0.6888463379607468,0.3925233644859813,0.6328076003041454,3200,12800,0.023283720016479492,25
MatchedMLP,4.0,0,5,0.7640019147917664,0.5273250239693192,0.7462273209122141,3200,16000,0.024990081787109375,25
MatchedMLP,4.0,0,6,0.7558640497845859,0.5446428571428571,0.7992869511646881,3200,19200,0.027175188064575195,25
MatchedMLP,4.0,0,7,0.7410244135950216,0.5525227460711332,0.8203100284720025,3200,22400,0.031874895095825195,25
MatchedMLP,4.0,0,8,0.7333652465294399,0.5554668794892259,0.8299533236761628,3200,25600,0.03069448471069336,25
MatchedMLP,4.0,0,9,0.7324078506462423,0.5615686274509804,0.8353882571027378,3200,28800,0.02927565574645996,25
MatchedMLP,4.0,0,10,0.7271421732886548,0.5608628659476117,0.8393621272415459,3200,32000,0.02473282814025879,25
MatchedMLP,4.0,0,11,0.7252273815222594,0.5625,0.8421288510742214,3200,35200,0.02244710922241211,25
MatchedMLP,4.0,0,12,0.7247486835806606,0.5647236941710825,0.8439333266732159,3200,38400,0.0233001708984375,25
MatchedMLP,4.0,0,13,0.7223551938726663,0.5645645645645646,0.8458807172946601,3200,41600,0.030840396881103516,25
MatchedMLP,4.0,0,14,0.7213977979894687,0.5676077265973254,0.8472807295048757,3200,44800,0.03037405014038086,25
MatchedMLP,4.0,0,15,0.7233125897558641,0.5705794947994056,0.8475575406405924,3200,48000,0.02951502799987793,25
MatchedMLP,4.0,0,16,0.7228338918142652,0.5701559020044543,0.8481826204232504,3200,51200,0.03471994400024414,25
MatchedMLP,4.0,0,17,0.7237912876974629,0.56972408650261,0.8487098797293771,3200,54400,0.035500526428222656,25
MatchedMLP,4.0,0,18,0.7247486835806606,0.5705750560119492,0.8485850025252946,3200,57600,0.02601933479309082,25
MatchedMLP,4.0,0,19,0.7271421732886548,0.5727136431784108,0.8486966982467241,3200,60800,0.023322343826293945,25
MatchedMLP,4.0,0,20,0.7271421732886548,0.5727136431784108,0.8488250442620313,3200,64000,0.02513289451599121,25
MatchedMLP,4.0,0,21,0.7280995691718526,0.5735735735735735,0.8490095850191757,3200,67200,0.0216982364654541,25
MatchedMLP,4.0,0,22,0.7280995691718526,0.5729323308270676,0.8490969990620334,3200,70400,0.0215756893157959,25
MatchedMLP,4.0,0,23,0.7290569650550502,0.5737951807228916,0.8488833202906031,3200,73600,0.021123409271240234,25
MatchedMLP,4.0,0,24,0.7276208712302538,0.5725018782870023,0.8491552750906053,3200,76800,0.021338462829589844,25
MatchedMLP,4.0,0,25,0.7285782671134514,0.5720754716981132,0.849337734561015,3200,80000,0.02479410171508789,25
VQC,4.0,1,1,0.511249401627573,0.29828178694158075,0.5057263135694345,3200,3200,0.3414607048034668,25
VQC,4.0,1,2,0.556247008137865,0.2785992217898833,0.5101247662021234,3200,6400,0.3641941547393799,25
VQC,4.0,1,3,0.5102920057443753,0.2900763358778626,0.5066684426980136,3200,9600,0.3191978931427002,25
VQC,4.0,1,4,0.5169937769267592,0.28591648973814576,0.5058400905775986,3200,12800,0.3659391403198242,25
VQC,4.0,1,5,0.498324557204404,0.2821917808219178,0.5019231089428728,3200,16000,0.3174552917480469,25
VQC,4.0,1,6,0.4944949736716132,0.2531824611032532,0.5014888137775632,3200,19200,0.3376734256744385,25
VQC,4.0,1,7,0.4868358066060316,0.23646723646723647,0.5048618858122845,3200,22400,0.3478376865386963,25
VQC,4.0,1,8,0.4739109621828626,0.2648829431438127,0.504355439373505,3200,25600,0.37282729148864746,25
VQC,4.0,1,9,0.505026328386788,0.3480453972257251,0.5109572808960078,3200,28800,0.3685169219970703,25
VQC,4.0,1,10,0.49114408808042126,0.352224253503961,0.5192782652613819,3200,32000,0.34999752044677734,25
VQC,4.0,1,11,0.48922929631402584,0.3474006116207951,0.5276547506063483,3200,35200,0.37212562561035156,25
VQC,4.0,1,12,0.49114408808042126,0.3623275344931014,0.540858433651354,3200,38400,0.37195277214050293,25
VQC,4.0,1,13,0.5141215892771661,0.34642627173213136,0.549179418016728,3200,41600,0.36522674560546875,25
VQC,4.0,1,14,0.498324557204404,0.3433583959899749,0.5425456634309596,3200,44800,0.3549797534942627,25
