model,qubits,n_params,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std,cumulative_bytes,n_seeds
FullFeatureMLP,,209,0.7400670177118238,0.0031207287722368605,0.5880825723136558,0.0033476602150277535,0.8703097509671046,0.0024551112551828673,668800,5
MatchedMLP,4.0,25,0.7335567257060795,0.005027468014596874,0.5723229185996118,0.0024358605355019516,0.8503892006193909,0.0010934143739766318,80000,5
MatchedMLP,6.0,33,0.7414073719483006,0.007014190910701911,0.5882552429406103,0.005653522366323976,0.8659803970540081,0.00042133249808026427,105600,5
MatchedMLP,8.0,51,0.7464815701292484,0.006436663021147577,0.5925388730155815,0.004232204141957033,0.8635633293927638,0.0021079390141841544,163200,5
VQC,4.0,25,0.5464815701292485,0.049222859258471495,0.38141422738522784,0.024529117603597297,0.6122715440927533,0.07073287275567199,80000,5
VQC,6.0,37,0.5043561512685495,0.023457664494433903,0.40177833850895955,0.017338268408095554,0.6791763099618707,0.025178296333403166,118400,5
VQC,8.0,49,0.613307802776448,0.05816071642146116,0.400425295539866,0.018091269319161576,0.6520707415485884,0.01461771677884395,156800,5
