depth,n_params,acc_mean,acc_std,auc_mean,auc_std,cumulative_bytes
2,49,0.613307802776448,0.05816071642146116,0.6520707415485884,0.01461771677884395,156800
3,73,0.6727620871230254,0.020101324001810916,0.766815409291974,0.03776836134346691,233600
4,97,0.7027285782671134,0.005969346057127772,0.7930715352125964,0.0045318533792257955,310400
